Ref,Val,Package,PosX,PosY,Rot,Side
"C4","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",144.082011,-114.639511,180.000000,top
"C7","22p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",139.172011,-114.639511,0.000000,top
"C8","22p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",133.922011,-121.624511,180.000000,top
"C9","100u","CP_Elec_6.3x7.7",73.820000,-125.730000,0.000000,top
"C10","100u","CP_Elec_6.3x7.7",121.920000,-74.295000,180.000000,top
"C11","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",106.680000,-113.030000,180.000000,top
"C12","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",76.200000,-88.497500,-90.000000,top
"C13","22u","CP_Elec_6.3x5.4",99.955000,-116.205000,180.000000,top
"C14","22u","CP_Elec_6.3x5.4",90.805000,-74.295000,0.000000,top
"C15","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",129.307500,-113.030000,0.000000,top
"C16","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",73.660000,-72.386131,90.000000,top
"C17","1n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",125.095000,-115.570000,-90.000000,top
"C18","1n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",71.120000,-72.390000,90.000000,top
"C19","680u","C_Radial_D12.5mm_H20.0mm_P5.00mm",136.525000,-72.390000,180.000000,top
"C20","220u","CP_Elec_6.3x7.7",150.495000,-90.170000,0.000000,top
"C21","100u","CP_Elec_6.3x7.7",83.185000,-127.160000,90.000000,top
"C22","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",155.047011,-114.639511,0.000000,top
"C23","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",159.957011,-114.639511,0.000000,top
"C24","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",154.877011,-121.624511,180.000000,top
"C25","4n7","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",164.561790,-107.654511,0.000000,top
"C30","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",85.307011,-112.899511,180.000000,top
"D1","BZV55B18","D_MiniMELF_Handsoldering",164.465000,-72.180000,-90.000000,top
"D2","Blue","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",149.860000,-138.430000,180.000000,top
"D3","1N5821","D_SMA",157.184511,-90.805000,-90.000000,top
"D4","PRTR5V0U2X","SOT-143",144.799511,-126.704511,90.000000,top
"D5","GREEN","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",76.014511,-119.494511,-90.000000,top
"D6","GREEN","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",68.335000,-45.085000,180.000000,top
"D7","RED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",73.474511,-119.494511,-90.000000,top
"D8","RED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",68.335000,-47.625000,180.000000,top
"F1","20A","Fuseholder_Cylinder-5x20mm_Stelvio-Kontek_PTF78_Horizontal_Open",159.324511,-43.309511,-90.000000,top
"J1","XT60_connector_DC_60A_male","AMASS_XT60PW-M",173.454511,-58.499511,-90.000000,top
"J6","prog_power_select","PinHeader_1x03_P1.27mm_Vertical",117.924511,-126.954511,180.000000,top
"J8","AVR-ISP-6","PinHeader_2x03_P1.27mm_Vertical",106.494511,-126.869511,0.000000,top
"J9","USB_CH_A","USB_A_Molex_67643_Horizontal",71.464511,-134.319511,0.000000,top
"J10","USB_CH_A","USB_A_Molex_67643_Horizontal",92.834511,-134.319511,0.000000,top
"J11","USB_CH_A","USB_A_Molex_67643_Horizontal",114.204511,-134.319511,0.000000,top
"J12","USB_CH_A","USB_A_Molex_67643_Horizontal",135.599511,-134.319511,0.000000,top
"J13","USB_CH_A","USB_A_Molex_67643_Horizontal",156.849506,-134.319511,0.000000,top
"J14","XT30_connector_DC_30A_female","AMASS_XT30PW-F_1x02_P2.50mm_Horizontal",78.044511,-47.545000,0.000000,top
"J15","XT30_connector_DC_30A_female","AMASS_XT30PW-F_1x02_P2.50mm_Horizontal",93.284511,-47.545000,0.000000,top
"J16","XT30_connector_DC_30A_female","AMASS_XT30PW-F_1x02_P2.50mm_Horizontal",108.524511,-47.545000,0.000000,top
"J17","XT30_connector_DC_30A_female","AMASS_XT30PW-F_1x02_P2.50mm_Horizontal",123.764511,-47.545000,0.000000,top
"J18","XT30_connector_DC_30A_female","AMASS_XT30PW-F_1x02_P2.50mm_Horizontal",139.004511,-47.545000,0.000000,top
"J21","24vTerminal","TerminalBlock_Altech_AK300-2_P5.00mm",173.804511,-75.989511,90.000000,top
"J22","12vTerminal","TerminalBlock_Altech_AK300-2_P5.00mm",62.804511,-55.749511,-90.000000,top
"J23","5vTerminal","TerminalBlock_Altech_AK300-2_P5.00mm",62.044511,-121.234511,-90.000000,top
"J24","dio_spare","PinHeader_1x01_P1.27mm_Vertical",128.905000,-106.680000,180.000000,top
"J25","adc_spare","PinHeader_1x02_P1.27mm_Vertical",128.270000,-109.855000,90.000000,top
"J26","USB_5v","PinHeader_1x01_P1.27mm_Vertical",169.545000,-130.810000,0.000000,top
"J29","wifi_header","PinSocket_1x10_P1.27mm_Vertical",130.004511,-127.747783,90.000000,top
"J30","3V3_spare","PinHeader_1x01_P1.27mm_Vertical",121.285000,-120.015000,0.000000,top
"J31","USB_B_Mini","USB_Mini-B_Lumberg_2486_01_Horizontal",171.264511,-115.439511,90.000000,top
"L1","10uH","L_0805_2012Metric_Pad1.05x1.20mm_HandSolder",149.444511,-114.639511,0.000000,top
"L2","33uH","L_12x12mm_H8mm",133.480000,-87.630000,-90.000000,top
"M1","Fan_IEC60617","Fan12V_40by10.5mm",67.809511,-70.629511,-90.000000,top
"Q1","IRF5305_PBF","TO-263-2",150.495000,-75.565000,180.000000,top
"Q2","Si2319CDS","SOT-23",115.274511,-75.904511,-90.000000,top
"Q3","Si2319CDS","SOT-23",89.535000,-114.300000,180.000000,top
"Q4","IRF5305_PBF","TO-263-2",78.994511,-58.524511,0.000000,top
"Q5","IRF5305_PBF","TO-263-2",96.774511,-58.524511,0.000000,top
"Q6","IRF5305_PBF","TO-263-2",114.439511,-58.524511,0.000000,top
"Q7","IRF5305_PBF","TO-263-2",131.360000,-58.524511,0.000000,top
"Q8","IRF5305_PBF","TO-263-2",146.050000,-58.505000,90.000000,top
"Q9","BC817","SOT-23",134.164511,-107.467011,90.000000,top
"Q10","BC817","SOT-23",139.244511,-107.467011,90.000000,top
"Q11","BC817","SOT-23",149.404511,-107.487011,90.000000,top
"Q12","BC817","SOT-23",139.514511,-100.839511,90.000000,top
"Q13","BC817","SOT-23",144.324511,-100.839511,90.000000,top
"Q14","BC817","SOT-23",149.404511,-100.814511,90.000000,top
"Q15","BC817","SOT-23",154.987697,-107.487011,90.000000,top
"Q16","BC817","SOT-23",159.968730,-107.487011,90.000000,top
"Q17","BC817","SOT-23",154.987697,-100.814511,90.000000,top
"Q18","BC817","SOT-23",159.968730,-100.814511,90.000000,top
"R1","330r","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",166.370000,-80.010000,0.000000,top
"R1a1","560r","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",101.587141,-71.755000,0.000000,top
"R1b1","470r","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",89.265000,-121.920000,0.000000,top
"R2a1","2k2","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",105.667141,-71.755000,0.000000,top
"R2b1","560r","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",93.345000,-121.920000,0.000000,top
"R3a1","560r","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",109.842141,-71.755000,180.000000,top
"R3b1","560r","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",97.520000,-121.920000,180.000000,top
"R4","330r","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",154.914511,-126.704511,0.000000,top
"R4a1","2k0","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",109.747141,-74.930000,180.000000,top
"R4b1","470r","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",97.790000,-125.095000,-90.000000,top
"R5","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",124.460000,-125.460000,-90.000000,top
"R6","5V_BUS_TRIM","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",59.690000,-104.775000,90.000000,top
"R7","BUS_A_trim","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",59.690000,-85.725000,-90.000000,top
"R8","1M","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",149.834511,-126.704511,0.000000,top
"R9","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",134.164511,-111.609511,180.000000,top
"R10","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",139.244511,-111.609511,180.000000,top
"R11","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",144.324511,-111.629511,0.000000,top
"R12","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",144.324511,-104.009511,0.000000,top
"R13","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",144.324511,-107.819511,180.000000,top
"R14","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",129.084511,-104.009511,180.000000,top
"R15","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",134.164511,-103.989511,0.000000,top
"R16","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",139.244511,-103.989511,180.000000,top
"R17","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",149.404511,-104.009511,180.000000,top
"R18","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",139.244511,-97.770000,0.000000,top
"R19","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",144.324511,-97.770000,0.000000,top
"R20","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",149.404511,-97.745000,0.000000,top
"R21","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",154.987697,-111.629511,180.000000,top
"R22","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",159.968730,-111.609511,0.000000,top
"R23","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",149.404511,-111.629511,180.000000,top
"R27","220r","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",134.054511,-114.639511,0.000000,top
"R28","220r","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",134.023088,-118.449511,0.000000,top
"R31","220r","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",79.714511,-112.899511,0.000000,top
"R32","220r","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",68.310000,-42.545000,0.000000,top
"R33","220r","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",71.120000,-119.380000,-90.000000,top
"R34","220r","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",68.310000,-50.165000,0.000000,top
"R35","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",164.545544,-104.009511,0.000000,top
"R36","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",154.987697,-104.009511,180.000000,top
"R37","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",159.968730,-103.989511,180.000000,top
"R38","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",154.987697,-97.745000,0.000000,top
"R39","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",159.968730,-97.745000,0.000000,top
"SW1","SW_Push","SW_SPST_EVQPE1",113.665000,-124.620000,90.000000,top
"U3","ATmega328PB-M","QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm",147.659511,-120.354511,0.000000,top
"U4","i6A4W020A-DC-DC-250W","i6A4W-DIP",122.524511,-81.119511,-90.000000,top
"U5","i6A4W020A-DC-DC-250W","i6A4W-DIP",81.824511,-109.089511,90.000000,top
"U6","ACS712xLCTR-30A","SOIC-8_3.9x4.9mm_P1.27mm",119.380000,-114.935000,0.000000,top
"U7","ACS712xLCTR-30A","SOIC-8_3.9x4.9mm_P1.27mm",78.740000,-73.660000,180.000000,top
"U8","CH340C","SOIC-16_3.9x9.9mm_P1.27mm",161.629511,-122.259511,0.000000,top
"U10","LM2596S-5","TO-263-5_TabPin3",168.409511,-88.900000,0.000000,top
"U15","TL431DBZ","SOT-23",93.345000,-125.095000,180.000000,top
"U16","TL431DBZ","SOT-23",101.222141,-74.930000,180.000000,top
"U17","TL431DBZ","SOT-23",88.900000,-125.095000,0.000000,top
"U18","TL431DBZ","SOT-23",105.667141,-74.930000,0.000000,top
"U19","HEF4093B","SOIC-14_3.9x8.7mm_P1.27mm",82.429511,-118.614511,90.000000,top
"Y1","16MHz","Crystal_SMD_Abracon_ABM3C-4Pin_5.0x3.2mm",139.284511,-120.519511,-90.000000,top
